athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Aerial Powers,Fever,2025-09-28,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3037833081950729,0.21999999999999997,0.6439393939393939
Damiris Dantas,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3195216049382716,0.2519047619047619,0.8888888888888888
Chloe Bibby,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.29819624819624824,0.37912087912087905,0.9333333333333332
Sydney Colson,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.310989010989011,0.23478260869565218,0.8888888888888888
Sophie Cunningham,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4353558627752176,0.3923963133640553,0.8771929824561402
Aari McDonald,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.44086759801045516,0.2835714285714286,0.7999999999999999
Caitlin Clark,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3615432079232984,0.25957375957375955,0.8181818181818182
Bree Hall,Fever,2025-09-28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.4,0.0,0.41666666666666663
Bridget Carleton,Lynx,2025-09-26,27.0,6.0,4,0,0,0,2,2,7,1,3,1.0,1,False,away,0.2857142857142857,0.3333333333333333,1.0
Alanna Smith,Lynx,2025-09-26,12.0,0.0,1,1,0,0,0,0,4,0,3,0.0,0,False,away,0.0,0.0,0.44868637110016424
Napheesa Collier,Lynx,2025-09-26,37.0,17.0,6,3,0,3,4,8,15,1,3,0.0,0,False,away,0.5333333333333333,0.3333333333333333,0.9005231651064984
Kayla McBride,Lynx,2025-09-26,38.0,12.0,4,5,2,0,1,3,10,2,6,4.0,4,False,away,0.3,0.3333333333333333,1.0
